sta,seedchan,net,location
"UMAT","HHZ","UW",""
"HOOD","BHZ","UW",""
"STOR","HHZ","UW",""
"OT3","HHZ","UW",""
"GNW","BHZ","UW",""
"HEBO","BHZ","UW",""
"JEDS","BHZ","UW",""
"JRO","BHZ","CC",""
"GBB","HHZ","UW",""
"CLBH","BHZ","CC",""
"BRAN","BHZ","UW",""
"BABR","BHZ","UW",""
"LRIV","BHZ","UW",""
"SP2","BHZ","UW",""
"DAVN","BHZ","UW",""
"TOLT","BHZ","UW",""
"BEER","HHZ","UO",""
"CAVE","HHZ","UO",""
"CHIL","HHZ","UO",""
"JESE","HHZ","UO",""
"NATH","HHZ","UO",""
"FORK","BHZ","UW",""
"RAIN","HHZ","UO",""
"DBO","BHZ","UO",""
"FISH","HHZ","UW",""
"KENT","HHZ","UW",""
"DRAN","HHZ","UO",""
"MINN","HHZ","UO",""
"DFAZ","HHZ","UO",""
"BUCK","BHZ","UO",""
"PANH","BHZ","CC",""
"PINE","BHZ","UO",""
"IRON","HHZ","UW",""
"OMAK","BHZ","UW",""
"DOSE","BHZ","UW",""
"PASS","HHZ","UW",""
"MANO","HHZ","UW",""
"SHRK","BHZ","CC",""
"MDW","HHZ","UW",""
"TCBU","BHZ","CC",""
"VALT","BHZ","CC",""
"WIFE","BHZ","CC",""
"SWF2","BHZ","CC",""
"TREE","HHZ","UW",""
"FHAC","HHZ","UO",""
"LAIR","HHZ","UO",""
"ROGE","HHZ","UO",""
"TOOM","HHZ","UO",""
"WLOO","HHZ","UO",""
"WOOD","HHZ","UO",""
"WA2","HHZ","UW",""
"CCRK","HHZ","UW",""
"PHIN","HHZ","UW",""
"YPT","HHZ","UW",""
"TUCA","HHZ","UW",""
"MRBL","HHZ","UW",""
"KREP","BHZ","UW",""
"KREP","HHZ","UW",""
"UGP4","HHZ","UW",""
"H2O","HHZ","UW",""
"CIHL","BHZ","CC",""
"CPCO","BHZ","CC",""
"SWNB","BHZ","CC",""
"TMBU","BHZ","CC",""
"EPH2","HHZ","UW",""
"DDRF","HHZ","UW",""
"IZEE","HHZ","UW",""
"WOLL","HHZ","UW",""
"STD","BHZ","CC",""
"PR01","BHZ","CC",""
"SNI2","HHZ","UW",""
"LNO","HHZ","UW",""
"UGAP1","HHZ","UW",""
"PR03","BHZ","CC",""
"PR04","BHZ","CC",""
"PR05","BHZ","CC",""
"LEBA","HHZ","UW",""
"LTY","BHZ","UW",""
"BLOW","HHZ","UW",""
"WISH","BHZ","UW",""
"SHUK","BHZ","UW",""
"LON","BHZ","UW",""
"RADR","BHZ","UW",""
"RATT","BHZ","UW",""
"OBSR","BHZ","CC",""
"PRLK","BHZ","CC",""
"LCCR","HHZ","UW",""
"PRO","HHZ","UW",""
"ASBU","BHZ","CC",""
"MOX","HHZ","UW",""
"YACT","HHZ","UW",""
"PR02","BHZ","CC",""
"NORM","BHZ","CC",""
