sta,chan,net,loc,lat,lon,depth,on_date,off_date,rate,desc,inst_id
J33B,HHZ,7D,—,45.1066,-124.5706,-350,2012/07/15 (197) 06:24:00,2013/06/26 (177) 21:27:00,125,LDEO OBS TRAWL-RESISTANT,1
J25B,HHZ,7D,—,44.4713,-124.6217,-147,2012/07/15 (197) 19:35:00,2013/06/27 (178) 18:41:00,125,LDEO OBS TRAWL-RESISTANT,1
M09B,HHZ,7D,—,44.2497,-125.0589,-914,2012/07/17 (199) 09:43:30,2013/06/28 (179) 03:58:54,125,LDEO OBS TRAWL-RESISTANT,1
FS05B,BHZ,7D,—,40.3866,-124.8996,-2316,2012/08/27 (240) 00:00:00,2013/06/12 (163) 23:59:59,50,WHOI OBS ID S80,2
FS06B,BHZ,7D,—,40.3812,-124.7853,-2198,2012/08/27 (240) 00:00:00,2013/06/12 (163) 23:59:59,50,WHOI OBS ID S87,2
FS09B,BHZ,7D,—,40.4387,-124.8085,-2161,2012/08/28 (241) 00:00:00,2013/06/12 (163) 23:59:59,50,WHOI OBS ID S85,2
G19B,BHZ,7D,—,41.3074,-125.7736,-3071,2012/08/28 (241) 00:00:00,2013/06/13 (164) 23:59:59,50,WHOI OBS ID T106,2
G35B,BHZ,7D,—,42.5658,-126.0558,-2367,2012/08/29 (242) 00:00:00,2013/06/10 (161) 23:59:59,50,WHOI OBS ID T109,2
FS01B,BHZ,7D,—,40.3268,-124.9492,-940,2012/09/02 (246) 23:59:00,2013/06/19 (170) 08:00:00,50,SIO OBS ID FS01B,3
G10B,BHZ,7D,—,40.6779,-125.5533,-2936,2012/09/03 (247) 15:08:00,2013/06/19 (170) 16:44:00,50,SIO OBS ID G10B,3
G27B,BHZ,7D,—,41.9166,-126.0167,-3480,2012/09/03 (247) 23:38:00,2013/06/20 (171) 11:43:00,50,SIO OBS ID G27B,3
G34B,HHZ,7D,—,42.5554,-125.201,-2954,2012/09/12 (256) 00:37:03,2013/07/05 (186) 13:41:59,125,LDEO OBS STANDARD DEEP,1
FS20B,HHZ,7D,—,40.3895,-125.0311,-2378,2012/09/12 (256) 19:36:00,2013/07/03 (184) 23:26:00,125,LDEO OBS STANDARD DEEP,1
FS13B,HHZ,7D,—,40.4931,-124.8065,-2332,2012/09/13 (257) 00:16:30,2013/07/03 (184) 18:31:00,125,LDEO OBS STANDARD DEEP,1
FS15B,HHZ,7D,—,40.4926,-124.5126,-52,2012/09/13 (257) 10:56:00,2013/07/02 (183) 04:55:57,125,LDEO OBS TRAWL-RESISTANT,1
FS16B,HHZ,7D,—,40.5381,-124.7395,-1073,2012/09/13 (257) 10:56:00,2013/07/03 (184) 16:31:37,125,LDEO OBS STANDARD DEEP,1
FS10B,HHZ,7D,—,40.433,-124.6819,-1076,2012/09/13 (257) 14:03:30,2013/07/02 (183) 23:35:54,125,LDEO OBS STANDARD DEEP,1
FS07B,HHZ,7D,—,40.3392,-124.6596,-1297,2012/09/13 (257) 16:56:30,2013/07/03 (184) 02:27:38,125,LDEO OBS STANDARD DEEP,1
FS02B,HHZ,7D,—,40.3511,-124.798,-1402.8,2012/09/13 (257) 19:46:00,2013/07/03 (184) 21:31:38,125,LDEO OBS STANDARD DEEP,1
FS04B,HHZ,7D,—,40.2447,-124.5097,-159,2012/09/14 (258) 14:52:05,2013/07/01 (182) 17:28:25,125,LDEO OBS TRAWL-RESISTANT,1
FS12B,HHZ,7D,—,40.4371,-124.5059,-60,2012/09/15 (259) 10:43:30,2013/07/02 (183) 03:19:25,125,LDEO OBS TRAWL-RESISTANT,1
FS11B,HHZ,7D,—,40.4292,-124.5778,-132,2012/09/15 (259) 21:06:30,2013/07/02 (183) 19:45:16,125,LDEO OBS TRAWL-RESISTANT,1
FS17B,HHZ,7D,—,40.5598,-124.5965,-146,2012/09/16 (260) 11:39:30,2013/07/02 (183) 17:23:19,125,LDEO OBS TRAWL-RESISTANT,1
FS18B,HHZ,7D,—,40.5682,-124.5016,-107,2012/09/16 (260) 17:59:00,2013/07/01 (182) 04:00:40,125,LDEO OBS TRAWL-RESISTANT,1
FS19B,HHZ,7D,—,40.6279,-124.4667,-87,2012/09/17 (261) 07:49:00,2013/07/01 (182) 02:40:43,125,LDEO OBS TRAWL-RESISTANT,1
G09B,HHZ,7D,—,40.6568,-124.7187,-842,2012/09/17 (261) 13:01:00,2013/06/30 (181) 23:59:30,125,LDEO OBS TRAWL-RESISTANT,1
G17B,HHZ,7D,—,41.2839,-124.3446,-123,2012/09/17 (261) 19:42:00,2013/06/30 (181) 14:55:00,125,LDEO OBS TRAWL-RESISTANT,1
G18B,HHZ,7D,—,41.3016,-124.9363,-1464,2012/09/18 (262) 10:27:30,2013/05/16 (136) 10:16:22,125,LDEO OBS STANDARD DEEP,1
G26B,HHZ,7D,—,41.9249,-125.1775,-2357,2012/09/18 (262) 16:03:00,2013/07/05 (186) 18:49:13,125,LDEO OBS STANDARD DEEP,1
G25B,HHZ,7D,—,41.9199,-124.5861,-430,2012/09/19 (263) 12:34:30,2013/06/29 (180) 19:22:58,125,LDEO OBS TRAWL-RESISTANT,1
G33B,HHZ,7D,—,42.5483,-124.7162,-213,2012/09/19 (263) 21:33:04,2013/06/29 (180) 11:04:57,125,LDEO OBS TRAWL-RESISTANT,1
